,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Title,Artist,Album,Popularity,Appreciation
13,0.416,0.868,289149,0.618,1.35e-05,10,0.327,-12.588,1,0.0743,124.245,4,0.956,Sopa De Caracol,Banda Blanca,Sopa De Caracol,49,0
14,0.0294,0.715,194000,0.421,0.0,0,0.361,-10.836,0,0.0703,119.992,4,0.212,Demonia,DELLAFUENTE,Demonia,50,0
15,0.351,0.659,221205,0.656,0.0,7,0.137,-6.983,0,0.0405,106.011,4,0.853,Commotion,LOWLIGHT,Dopamine,52,0
16,0.111,0.873,206158,0.619,0.0,1,0.322,-5.277,0,0.147,142.063,4,0.747,Los Mina,Los Zvfiros,Los Mina,39,0
17,0.156,0.655,171494,0.952,0.0,8,0.145,-4.041,1,0.299,183.865,4,0.854,Hangover,Tomasa del Real,Bien Y Mal,41,0
18,0.583,0.78,149354,0.832,0.000926,0,0.239,-5.644,0,0.064,89.973,4,0.636,Como los Maestros,Kaydy Cain,Calle Amor,48,0
19,0.0668,0.708,230520,0.56,0.0,9,0.111,-7.132,1,0.129,163.043,4,0.411,Krippy Kush,Farruko,Krippy Kush,61,0
20,0.118,0.712,190936,0.791,2.18e-05,3,0.0605,-1.281,1,0.233,124.128,5,0.917,Vamoavé,Locoplaya,Qué Dice la Juventud?,47,0
21,0.198,0.78,237333,0.764,0.0,10,0.0574,-8.311,0,0.315,89.974,4,0.731,8=d,Bejito,Hipi Hapa Vacilanduki,12,0
22,0.247,0.6,194261,0.783,0.0,11,0.166,-6.597,0,0.26,160.063,4,0.609,Chemtrails,Pimp Flaco,Chemtrails,53,0
23,0.214,0.753,233827,0.732,0.0,6,0.265,-3.619,1,0.0562,120.056,4,0.325,El Farsante,Ozuna,El Farsante,78,0
24,0.257,0.835,189168,0.698,8.69e-06,1,0.0552,-6.972,1,0.159,83.981,4,0.569,Romea y Julieto,DELLAFUENTE,Romea y Julieto,52,0
25,0.266,0.421,247500,0.72,0.0,7,0.225,-6.257,1,0.0571,97.998,4,0.24,Fiebre - Prod. King DouDou,Bad Gyal,Slow Wine Mixtape,63,0
26,0.209,0.826,165971,0.494,0.00881,9,0.0628,-9.484,0,0.105,94.029,4,0.746,Si Me Encierran,One Path,Si Me Encierran,41,0
27,0.638,0.859,204202,0.721,0.0,5,0.112,-7.925,1,0.164,111.983,4,0.342,<3,Pimp Flaco,Terremoto Turquesa,53,0
28,0.0818,0.519,184800,0.689,0.0,10,0.222,-3.353,1,0.149,98.412,4,0.515,Jacaranda,Bad Gyal,Jacaranda,55,0
29,0.277,0.684,209302,0.609,0.000141,2,0.686,-6.48,1,0.419,172.128,4,0.439,Words,Kidd Keo,Words,53,0
30,0.138,0.888,166114,0.563,8.13e-06,1,0.116,-7.432,1,0.142,99.481,4,0.444,Mi Casa,Cruz Cafuné,Pa'l Coche,67,0
31,0.138,0.926,156238,0.594,0.0,11,0.106,-10.052,0,0.154,125.93,4,0.2,Onely,Pimp Flaco,23,43,0
32,0.268,0.869,268307,0.72,0.0,1,0.0278,-4.205,0,0.269,118.016,3,0.921,Ratones Colorados,Diego Carrasco,Mi ADN Flamenco,0,0
33,0.781,0.684,267373,0.275,1.66e-05,8,0.113,-16.619,1,0.0349,131.068,4,0.527,Lo Bueno Y Lo Malo,Duquende,Y La Guitarra De Tomatito,0,0
34,0.0084,0.731,285902,0.783,0.152,0,0.351,-4.785,0,0.053,123.019,4,0.81,Real Life - Tom & Collins Remix,Duke Dumont,Real Life (Tom & Collins Remix),45,0
35,0.581,0.775,251530,0.333,8.4e-06,4,0.108,-9.644,0,0.0633,72.459,4,0.64,Tú Me Entiendes Bien,Aldeskuido,A Pie de Calle,26,0
36,0.152,0.76,209690,0.702,0.0,11,0.0407,-5.857,0,0.0528,107.044,4,0.791,De Leganés a Tetuán,Aldeskuido,A Pie de Calle,30,0
37,0.474,0.77,267760,0.846,1.07e-05,2,0.108,-5.49,0,0.0934,104.954,4,0.77,Flores Pa Tu Pelo,Aldeskuido,A Pie de Calle,30,0
38,0.0643,0.818,229093,0.891,0.0151,8,0.315,-5.658,0,0.215,119.953,4,0.823,El Pantalon,Las Chuches,Las Chuches,24,0
39,2.2e-05,0.239,256120,0.989,0.614,6,0.492,-4.563,0,0.275,169.922,4,0.237,No One Survives,Nekrogoblikon,Stench,38,0
